Which of the following jobs has the stress on the first syllabe ?;biologist;psychiatrist;secretary;2
Which word sounds different ?;debt;treat;sweat;1
Which word sounds different ?;mother;another;bother;2
Which word sounds different ?;taught;hot;knot;0
Which has a different vowel sound ?;made;head;bed;0
Which word does not rhyme with the others ?;through;sew;due;1
Which word has the correct stress in British English ?;ADvertisement;adVERtisement;adverTISEment;1
Which word has a different stress pattern ?;continent;elephant;computer;2
Which word has a different stress pattern ?;receptionist;disqualify;operation;2
Which of the following has a different vowel sound ?;knew;sew;few;1

