Listening1.m4a;null;choose the right answer !;It is on top of the table;Do you think so ?;No, mine is at home;2
Listening2.m4a;null;choose the right answer !;It's about four meters long I think;Have you been there before ?;For only two nights;2
Listening3.m4a;null;choose the right answer !;Not at all;Which way to the office ?;I don't weight myself very often;0
Listening4.m4a;null;choose the right answer !;The waiter is in the kitchen;No, he won't mind if we start;When will you finish ?;1
Listening5.m4a;null;choose the right answer !;Take the first left;Will you get the tickets ?;Yes that's correct;0
Listening6.m4a;null;choose the right answer !;That is not right;It might be the water supply;They're not watching the right TV channel;1
Listening7.m4a;null;choose the right answer !;I'll show you the results later;It was quiet good;Shall we go tomorrow ?;1
Listening8.m4a;null;choose the right answer !;The flight arrives at 7AM;A table for four please;Yes, for tomorrow night;2
Listening9.m4a;null;choose the right answer !;It was about the new annual plan;Yes, he's at the market;No, I have too much to do;2
Listening10.m4a;null;choose the right answer !;Yes this is my first week;The end of last night;It hasn't started yet;0
Listening21.m4a;fichier1.csv;question1;quoi ;qui;quand;1
Listening22.m4a;fichier2.csv;question2;quoi ;qui;quand;1
Listening23.m4a;fichier3.csv;question3;quoi ;qui;quand;1
